标题,摘要,关键词,资金来源,DOI,原文刊载于,原文链接
[论文]王学玉：全球安全倡议:确立国际安全新架构,提出、传播和实践地区性与全球性的国际合作倡议，是中国参与地区和全球治理、应对世界变化与挑战以及发挥负责任大国作用的重要途径与方式，值得关注和探讨。通过公共政策分析中的议题框定（issue framing）方法与视角分析全球安全倡议，我们认识到，中国对全球和地区安全问题及其解决方案已经提出了一个系统性的逻辑严密的理论体系，包括对国家安全、国际安全问题、国际安全关系、国际安全合作等核心概念的新观念新理解，也提出了国际安全架构中应坚持的基本原则，为构建国际安全新架构奠定了理论基础，提供了新的思路和启示。全球安全倡议是中国对维护世界安全这一当下最为迫切的国际公共产品的独特贡献，是中国确立国际安全供给者身份的最重要努力，其理念、设想和动员实践将极大地提升中国在全球安全事务领域的领导力。,全球安全倡议;国际合作倡议;国际安全新架构;,"国家社会科学基金重大专项阶段性研究成果,项目编号：22VMG0028；",10.16619/j.cnki.rmltxsqy.2023.13.003,人民论坛·学术前沿. 2023(13),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UC5-j69K1SF73GgudE_vw1P4OuDzn_4u-P38bBkJq7mj&uniplatform=NZKPT
[论文]李振 李晓鹏：街道办事处决策过程的制度化与非制度化——以H街道办事处为例,党政机关决策过程一直是学者们关注的热点，但以往研究缺少对不同决策案例的比较分析，也没有关注基层治理的决策过程。本文在梳理已有文献的基础上，通过对H街道办事处决策过程的参与式观察、深入访谈和定性文本分析，呈现了街道办事处决策主体、客体、平台和决策行为的多样化。随着对重大事项决策制度化的重视程度不断提升，街道办事处的决策过程呈现出三个方面的制度化：形成了相关的制度文本，决策程序固定化，以及权威性决策平台的确立。街道办事处决策过程的制度化是民主集中制原则在基层治理中的具体体现。但街道办事处决策过程的制度化并未完全实现，非重大事项的决策规则还不明确，部分决策环节存在不确定性，既有制度文本的执行也不到位。影响街道办事处决策过程制度化水平的因素主要包括来自上级的压力和动力、街道办事处应对治理任务的需求、决策主体拥有的资源支持状况，以及相关制度文本的清晰程度。,决策;街道办事处;制度化;非制度化;影响因素;,国家社会科学基金项目“中国干部教育培训体系比较研究”(19BZZ076)的研究成果；,,政治学研究. 2023(04),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJutOehf2D0XouCH-lhM6pGzwJoOoIRwYv16wVP43bcL753-M7SNZRW1pKswE5fLa-7&uniplatform=NZKPT
[论文]李辉 胡彬：“混合型”政策创新：我国地方政府政策创新的解释框架——以J市“…,近年来，以原创性和自主性的双重折衷为主要特征的“混合型”政策创新，成为我国地方政府政策创新的常见模式，系统阐释其内涵、情境、动因、策略，有助于丰富我国政策创新的理论谱系。从情境来看，“混合型”政策创新源于创新风险与治理需求的结构性冲突、压力型体制下创新激励与问责风险的并行、相对沉寂的场域下创新信号的释放。创新绩效的竞争驱动、先行地区的示范效应、属地管理的职责归属、创新“收支”的综合考量，是“混合型”政策创新的动因。审慎学习与折衷式再生产是“混合型”政策创新的基本行动策略，具体包括：在回应百姓关切和上级政府要求基础上基于绩效预期的议题选取、基于创新突破的反复调研、基于风险把控的审慎评估、基于折衷变通的方案设计、基于由易到难的边试边行、基于亮点深挖的对标提炼。,“混合型”政策创新;政策创新;政策学习;“老楼加梯”;,山东省习近平新时代中国特色社会主义思想研究中心项目、山东省社科规划重大项目“健全共建共治共享的社会治理制度和提升社会治理效能研究”（22AWJ35）；?国家社科基金一般项目“地方政府区域合作中纵向介入的控制权配置研究”（21BZX007）；,10.19836/j.cnki.37-1100/c.2023.05.006,山东大学学报(哲学社会科学版). 2023(05),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C45S0n9fL2suRadTyEVl2pW9UrhTDCdPD66FeCiybgjTVwjepbwx38y9ga11fP6wVXJu5-9oqDg1AxWsaZyY5m7K&uniplatform=NZKPT
[论文]孙宗锋 席嘉诚：数字化协同治理的类型及其逻辑——以政务服务“跨省通办”为…,数字化协同治理不仅仅是技术的简单应用，还蕴含着技术与组织的互动过程。技术赋能水平由技术调适度与组织适应度共同决定，结合政务服务“跨省通办”，构建了数字化协同治理议题下技术与组织的互构分析框架。基于技术调适度与组织适应度进行类型学分析，提出了“赋能失败”“组织牵制”“技术局限”与“互构融合”四种类型，对当前我国“跨省通办”的实践模式加以解读。研究发现，技术赋能实现数字化协同治理看似是复杂的技术问题，实则是以组织适应为核心的协同难题。数字化协同治理的关键在于组织自身结构的调整优化。,协同治理;数字政府;互构论;跨省通办;数字化协同;,山东省教育厅青创团队计划项目“数字政府转型的基础理论与实践模式”（项目号：2022RW003）； 山东省社会科学规划项目“健全共建共治共享的社会治理制度和提升社会治理效能研究”（项目号：22AWJ35）；,,电子政务. 2023(10),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C45S0n9fL2suRadTyEVl2pW9UrhTDCdPD65TKYVWaWTfO8YW1U1mG7F3oSAbYg9kfuWMRS3IoR0AhpEWdGzfbhoo&uniplatform=NZKPT
[论文]孔新峰 张继超：儒家“礼”“刑”思想的现代诠释——以“礼不下庶人，刑不上…,"“礼不下庶人，刑不上大夫”源自《礼记》,曾出现在多种古典文献中，相关释义历来众说纷纭。系统梳理有关这句话的不同解读，可以发现，只有将“礼不下庶人”与“刑不上大夫”贯通理解，认识到“礼下庶人”,庶人“有其礼”;“刑上大夫”,大夫“用其刑”,方能明辨其中所蕴含的儒家德性政治传统。儒家思想具有鲜明的差等性，深刻体现于作为“治具”的“礼”与“刑”之中。差等性的“礼”与“刑”事关政治崇高性的重要问题，折射出以儒家思想立身的士大夫阶层竭力追求的中国古典政治中特有的德性要素。以礼为途径，以刑为辅助，至少从政治理念上打破了以血缘关系亲疏为量度的等级桎梏，试图疏通社会的“上下”乃至“内外”区隔，彰显了儒家德性政治理论的精髓。中国共产党人在百余年的接续奋斗中，对以儒家为主流的中华优秀传统文化进行创造性转化和创新性发展，提取、凝练与吸收了儒家“礼”“刑”思想中的精华成分，提出了对党员干部更高的德性与纪律要求，并充分运用于治国理政：发挥先锋作用，永葆先进本色；坚持人民至上，完善制度建设；勇于自我革命，全面从严治党。新的历史征程，必须贯彻落实好全面从严治党这一党的自我革命的伟大实践，深入推进新时代党的建设新的伟大工程。",“礼-刑”观;礼不下庶人;刑不上大夫;德性政治;全面从严治党;,,10.13713/j.cnki.cssci.2023.05.007,贵州社会科学. 2023(05),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UO-APNBmopsfVV8ySB6ld5KRFOY2mBi_LvIytadg1vm6&uniplatform=NZKPT
[论文]周丕启 王乔：净评估与美国竞争战略,净评估是冷战时期美国出现的一种战略评估理论，对美国的竞争战略产生深远影响。随着中美竞争日趋激烈，这种评估理论引起国内学者的关注。净评估具有独特的运行机理、基础模型和实施规则；国家竞争战略是关于利用竞争优势夺取竞争主动权的规划，受到多种因素影响，战后国家竞争战略出现变化。净评估从战略目标、竞争优势和战略路径等方面，推动战后美国国家竞争战略转型。净评估对美国对苏联的战略竞争规划的影响主要体现在美苏战略竞争趋势研判、美对苏战略竞争目标判定、美苏战略竞争优劣势剖析、美对苏战略竞争路径选择等方面。净评估推动了美国赢得对苏战略竞争。美国竞争战略中的净评估对于我们今天认识美国对华战略竞争具有重大的启示。,美国军事与外交;对外战略;竞争战略;净评估;大国竞争;,,,"美国研究. 2023,37(04)",https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50m0Qp1cqy1Qz9ZXzYwVE2771U1ziUilI8CKTL3CTsuPuiw51qQWsOlH&uniplatform=NZKPT
"[论文]Huang, Q (Huang, Qing); Liu, HX (Liu, Huaxing)： How Does Paternalistic Leadership Enhance Civil Servants' Public Service Motivation? The Mediating Mechanism of Trust in Leader","The field of public leadership studies has witnessed limited research on paternalistic leadership (PL) and its impact on civil servants. The present study draws upon a questionnaire survey of 2,064 Chinese civil servants to explore the impact of administrative leaders' PL styles on civil servants' public service motivation (PSM) and the mediating mechanism that underlies its effects. When PL is exercised in a benevolent or moral style, it intensifies subordinates' PSM. But authoritarian behavior, whether used separately, or in combination with another style (as in benevolent-authoritarian, moral-authoritarian or benevolent-moral-authoritarian leadership), showed an insignificant effect on PSM. In addition, trust in leader mediates the relationship between benevolent, moral and AL styles and subordinates' PSM. Our findings suggest that even in an authoritarian-oriented society such as China, the authoritarian variant of PL is increasingly losing its influence, and moral and benevolent leadership have become more important in modern organizations, and should be the primary leadership strategies employed by government leaders.",paternalistic leadershippublic service motivationtrust in leadercivil servants,,10.1177/00953997231186994,ADMINISTRATION & SOCIETY . OCT 2023,https://www.webofscience.com/wos/woscc/full-record/WOS:001041333900001
[论文]刘昌明 赵敏：全球化的新部落主义转向：特征、动因及影响,后现代社会理论的新部落主义指出了部落化社会的三个主要特征：超越个体主义的部落式共同体的结成、非理性的联系纽带和一体化社会的解构。而当前全球化发展也呈现出同样的部落化特征与态势。西方从再国家化的单边主义行动方式转向结成联盟性的部落，成员忠诚于部落而排外。以泛安全化、泛政治化和价值观等为主要形式的非理性联系纽带在结成部落的过程中发挥了主要作用。世界各领域部落化的演进趋势逐步导致全球融合发展的一体化格局被解构。全球化的新部落主义转向是西方因应世界百年变局对内政策调整、对外护持霸权的自救行为所致，而各种社会思潮又在客观上起到了推波助澜的作用。它在客观上固化和加剧了大国竞争格局、倒逼区域一体化和世界多极化进程，并在阈限期中孕育着全球化的新模式。,新部落主义;全球化;部落化;非理性纽带;,国家社会科学基金重点项目“全球治理新态势与中国全球治理能力建设研究”（20AZD105）；,,探索与争鸣. 2023(07),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50kYCQmgIBETVeEoE9fOFRPSFneSQVvJL1oVXToE6L65fuLJfgXdvOUZ&uniplatform=NZKPT
"[论文]Li, YW (Li, Yanwei):Is hierarchy the only answer? The accountability preferences of Chinese public employees in public service delivery","This contribution applies the Q methodology to investigate Chinese public employees' accountability preferences under different accountability relationships in delivering public services. We identify four accountability preferences: a vertically oriented accountability, a network-style accountability, a style of accountability between market and participatory accountability, and a vertically oriented style of market accountability. Our data show that Chinese public employees hold varied accountability preferences in public service delivery, and hierarchy is a relatively popular one. It is suggested that governors should effectively align different accountability relationships with the aim of better steering the behavior of public employees in public service delivery.",accountability preferenceChinapublic service deliveryQ methodology,,10.1111/ropr.12531,REVIEW OF POLICY RESEARCH . Early Access JUN 2023,https://www.webofscience.com/wos/woscc/full-record/WOS:001000031500001
"[论文]Li, YW (Li, Yanwei); Song, YP (Song, Yunpeng)：Contingent coordination in crisis: Experiences of Qingdao control command in governing COVID-19 in China","Coordination is one of the most challenging crisis management issues governments face worldwide. In this contribution, we examine the coordination mechanism applied by Qingdao control command in China to fight against COVID-19. Its coordination is implemented contingently via five different approaches: achieving compromises through a centralized tiered meeting system, developing standard operating procedures through issuing documents, encouraging pragmatic problem-solving through improvisation, establishing routines through finding shortcuts, and following commands and suggestions from higher-up. Two perspectives, the structural-institutional and cultural perspectives, have been applied to explain the choice of the contingent coordination mechanism. Our study contributes to the existing crisis coordination literature through substantiating the approaches underlying contingent coordination and providing a preliminary explanation of it.",control commandcoordinationCOVID-19crisis management,,10.1111/1468-5973.12453,JOURNAL OF CONTINGENCIES AND CRISIS MANAGEMENT. SEP 2023,https://www.webofscience.com/wos/woscc/full-record/WOS:000942470500001&uniplatform=NZKPT
