Name,Longitude,Latitude
北京师范大学,116.3320,39.9544
河北师范学院,115.5122,38.9780
中国社会科学院,116.3883,39.9282
山东大学,117.0190,36.6685
中国人民大学,116.3473,39.9610
中国人民大学,116.3473,39.9610
澳大利亚国立大学,149.1150,-35.3035
华南师范大学,113.3676,23.1622
复旦大学,121.5070,31.3020
青岛大学师范学院,120.3821,36.0865
南京理工大学,118.7963,32.0250
南京大学,118.7960,32.0603
香港中文大学,114.2170,22.3959
上海交通大学,121.4825,31.2001
重庆大学,106.5705,29.5630
耶鲁大学,-72.9223,41.3163
哥德堡大学,11.9746,57.7089
香港大学,114.1628,22.2797
太原理工大学,112.5495,37.8628
苏州大学,120.5853,31.2989
多伦多大学,-79.3957,43.6629
杜伦大学,-1.5755,54.7764
南开大学,117.1800,39.1408
韩国岭南大学国际教育院,128.1025,35.1444
柏林自由大学,13.2906,52.4574
山东师范大学,117.1571,36.6829
北京外国语大学,116.3489,39.9658
美国密苏里大学,-92.3341,38.9519
北京大学,116.4074,39.9042
德国弗莱堡大学,7.8421,47.9936
复旦大学,121.5070,31.3020
阿姆斯特丹自由大学,4.8811,52.3584
兰州大学,103.6177,36.0569
清华大学,116.3290,40.0056
内蒙古科技大学,111.6385,40.8165
特拉华大学,-75.7490,39.6838
四川大学,104.0666,30.6502
吉林大学,125.3245,43.8868
哈尔滨工业大学,126.6424,45.7559
中山大学,113.3590,23.1327
伦敦大学国王学院,-0.0904,51.5108
浙江大学,120.1517,30.2728
中国矿业大学,117.2050,34.1870
南开大学,117.1800,39.1408
新加坡国立大学,103.7764,1.2966
高丽大学,126.9960,37.5821
华中师范大学,114.3632,30.5134
北京大学,116.4074,39.9042
伯明翰大学,-1.5486,52.3963
哈尔滨工业大学,126.6424,45.7559
华中农业大学,114.3640,30.5158
昆士兰大学,153.0187,-27.4979
美国斯坦福大学,-122.1697,37.4275
新加坡国立大学李光耀公共政策学院,103.7764,1.2966
大连理工大学,121.6079,38.9040
罗格斯大学,-74.4451,40.5015
武汉大学,114.4005,30.5455
西安交通大学,108.9560,34.2009
黑龙江大学,126.6329,45.7475
西南大学,106.4930,29.9733
奈梅亨大学,5.8450,51.8424
普林斯顿大学,-74.6553,40.3430
中国人民大学,116.3473,39.9610
